,City,Sunshine,Days,State
0,KEY WEST,76%,38       , FL            
1,MIAMI,70%,20        , FL               
2,APALACHICOLA,66%,57       , FL        
3,TAMPA,66%,50       , FL                
4,JACKSONVILLE,63%,50       , FL        
5,PENSACOLA,60%,5       , FL           
